Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
2008 08 06 12,48729.61,0,445.25,37.57,22.89,2294.16,2.1,50.0154,,,1.6
2008 08 07 12,48409.41,0,458.95,38.5,22.79,2239.75,1.6,50.0154,,,1.3
2008 08 08 12,48383.99,0,446.82,36.57,21.91,2131.66,1.3,50.0154,,,1
2008 08 09 12,48383.99,0,454.67,33.47,19.06,1800.74,1,50.0154,,,0.8
2008 08 10 12,48152.71,1.11,422.87,33.24,18.78,1619.22,0.8,50.0154,,,0.96
2008 08 11 12,48038.4,0,497.75,33.92,17.5,1343.54,0.96,50.0154,,,1.2
2008 08 12 12,48038.4,0,480.74,33.83,18.16,1436.45,1.2,50.0154,,,1
2008 08 13 12,47872.24,13.59,272.86,30.41,19.49,2121.67,1,50.0154,,,3.9
2008 08 14 12,47692.81,9.85,211.79,24.6,16.85,1907.69,3.9,50.0154,,,19
2008 08 15 12,47692.81,0,413.89,29.97,17.6,1689.6,19,50.0154,,,6.7
2008 08 16 12,47592.43,0,418.36,32.48,19.54,1875.69,6.7,50.0154,,,3.7
2008 08 17 12,47347.21,7.34,314.15,30.57,19.45,2124.18,3.7,50.0154,,,2.5
2008 08 18 12,47347.21,0.23,382.64,29.84,18.5,1903.33,2.5,50.0154,,,1.9
2008 08 19 12,47246.78,0,419.25,31.03,18.28,1799.2,1.9,50.0154,,,13
2008 08 20 12,47001.61,0,450.4,32.93,18.6,1720.83,13,50.0154,,,7.4
2008 08 21 12,47001.61,0,410.38,32.16,19.66,1935.27,7.4,50.0154,,,4.4
2008 08 22 12,46770.35,0,289.08,29.46,21.3,2456,4.4,50.0154,,,3
2008 08 23 12,46656,6.15,149.15,25.93,20.7,2431.82,3,50.0154,,,2.8
2008 08 24 12,46656,0.64,304.75,29.5,20.83,2379.58,2.8,50.0154,,,3.1
2008 08 25 12,46316.02,0.25,311.74,29.95,21.23,2440.9,3.1,50.0154,,,3.6
2008 08 26 12,46310.4,12.94,246.17,30.84,21.48,2553.37,3.6,50.0154,,,6.1
2008 08 27 12,46310.4,28.98,218.69,29.56,21.55,2568.28,6.1,50.0154,,,6.2
2008 08 28 12,45964.79,0,341.02,28.76,19.42,2255.34,6.2,50.0154,,,13
2008 08 29 12,45964.79,0,383.99,31.16,20,2283.75,13,50.0154,,,12
2008 08 30 12,45964.79,3.24,353.01,31.63,20.5,2380.36,12,50.0154,,,13
2008 08 31 12,45619.18,2.59,368.08,32.46,19.98,2265.7,13,50.0154,,,13
2008 09 01 12,45619.18,0,370.6,31.7,20.79,2429,13,50.0154,,,19
2008 09 02 12,45616.5,0,392.66,30.5,19.03,2170.02,19,50.0154,,,12
2008 09 03 12,45273.6,0,455.25,29.93,15.79,1709.91,12,50.0154,,,12
2008 09 04 12,45273.6,0,474.19,31.1,15.51,1654.91,12,50.0154,,,6.7
2008 09 05 12,44927.99,0,461.96,31,16.02,1724.92,6.7,50.0154,,,4.5
2008 09 06 12,44927.99,2.46,367.7,30.84,18.54,2108.93,4.5,50.0154,,,3.3
2008 09 07 12,44927.99,0,416.58,33.93,20.43,2328.95,3.3,50.0154,,,2.7
2008 09 08 12,44582.39,0,417.64,33.93,20.33,2314.78,2.7,50.0154,,,2.2
2008 09 09 12,44582.39,0,388.82,32.41,20.43,2364.66,2.2,50.0154,,,1.9
2008 09 10 12,44582.39,9.57,268.41,31.6,21.05,2487.38,1.9,50.0154,,,3
2008 09 11 12,44236.83,8.86,209.56,27.8,20.45,2397.7,3,50.0154,,,2.8
2008 09 12 12,44236.83,13.63,205.79,27.67,20.51,2403.14,2.8,50.0154,,,2.2
2008 09 13 12,43891.2,5.13,257.61,30.35,20.87,2459.15,2.2,50.0154,,,2
2008 09 14 12,43891.2,0,369.44,31.66,20.68,2428.99,2,50.0154,,,2.9
2008 09 15 12,43891.2,0,358.23,31.61,21.08,2492.27,2.9,50.0154,,,4.2
2008 09 16 12,43545.6,2.34,349.33,31.34,19.32,2249.32,4.2,50.0154,,,3.7
2008 09 17 12,43545.6,1.52,184.9,21.82,17.31,1971.46,3.7,50.0154,,,3
2008 09 18 12,43545.6,0.73,285.5,22.96,15.96,1806.47,3,50.0154,,,2.5
2008 09 19 12,43199.98,0,433.92,27.5,14.42,1636.25,2.5,50.0154,,,2.2
2008 09 20 12,43199.98,0,423.4,25.99,13.68,1572.05,2.2,50.0154,,,1.9
2008 09 21 12,42854.39,0,387,24.49,13.87,1588.86,1.9,50.0154,,,1.7
2008 09 22 12,42854.39,0,350.58,24.36,14.94,1704.52,1.7,50.0154,,,1.5
2008 09 23 12,42854.39,0,426.17,28.13,14.5,1639.86,1.5,50.0154,,,1.4
2008 09 24 12,42508.8,0,426.98,26.37,12.84,1469.24,1.4,50.0154,,,1.1
2008 09 25 12,42508.8,0,392.63,24.3,12.69,1455.53,1.1,50.0154,,,0.84
2008 09 26 12,42508.8,2.88,247.7,21.88,14.08,1606.15,0.84,50.0154,,,0.84
2008 09 27 12,42163.22,10.35,148.59,20.74,15.71,1776.45,0.84,50.0154,,,1.4
2008 09 28 12,42163.22,0,353.45,25.79,15.47,1757.85,1.4,50.0154,,,1.4
2008 09 29 12,41817.61,0,397.27,29,15.94,1795.08,1.4,50.0154,,,1.7
2008 09 30 12,41817.61,10.21,292.72,29.52,16.55,1880.65,1.7,50.0154,,,3.7
2008 10 01 12,41817.61,0,405.28,28.51,14.73,1676.21,3.7,50.0154,,,3.6
2008 10 02 12,41471.98,0,468.98,26.21,7,1000,3.6,50.0154,,,3.1
2008 10 03 12,41471.98,0,455.06,23.76,6.58,966.74,3.1,50.0154,,,3.4
2008 10 04 12,41471.98,0,455.27,26.63,8.08,1086.38,3.4,50.0154,,,2.7
2008 10 05 12,41126.39,0,438.62,27.96,10.45,1276.34,2.7,50.0154,,,2.2
2008 10 06 12,41126.39,0,434.11,27.97,10.48,1278.4,2.2,50.0154,,,1.8
2008 10 07 12,40783.48,0,428.65,27.51,10.25,1260.11,1.8,50.0154,,,1.6
2008 10 08 12,40780.8,0,372.05,25.31,12.39,1430.92,1.6,50.0154,,,4.3
2008 10 09 12,40780.8,57.21,131.38,21.35,16.24,1837.64,4.3,50.0154,,,18
2008 10 10 12,40435.21,0.22,234.28,24.14,17,1920,18,50.0154,,,30
2008 10 11 12,40435.21,6.14,216.3,25.99,17.83,2052.54,30,50.0154,,,47
2008 10 12 12,40435.21,0,220.9,23.56,16.81,1906.75,47,50.0154,,,19
2008 10 13 12,40089.6,0,293.51,25.18,15.61,1772.71,19,50.0154,,,11
2008 10 14 12,40089.6,0,378.67,25.79,11.63,1370.27,11,50.0154,,,7.3
2008 10 15 12,40083.98,0,407.28,27.84,10.36,1269.19,7.3,50.0154,,,5.2
2008 10 16 12,39743.98,0,404.76,28.55,10.61,1289.07,5.2,50.0154,,,4
2008 10 17 12,39743.98,0,372.18,28.37,12.82,1465.56,4,50.0154,,,3.7
2008 10 18 12,39629.68,16.34,249.66,23.46,10.97,1317.76,3.7,50.0154,,,4.1
2008 10 19 12,39398.4,0,348.58,18.29,5.47,912.98,4.1,50.0154,,,3.5
2008 10 20 12,39398.4,0,390.52,18.37,2.35,720,3.5,50.0154,,,2.7
2008 10 21 12,39218.96,0,395.69,20.38,3.05,763.99,2.7,50.0154,,,3.4
2008 10 22 12,39052.82,0,382.45,22,5.13,890.05,3.4,50.0154,,,6.2
2008 10 23 12,39052.82,0,323.13,18.63,6.19,935.76,6.2,50.0154,,,4.4
2008 10 24 12,38807.61,0,263.3,16.81,7.39,1031.04,4.4,50.0154,,,3.7
2008 10 25 12,38707.19,13.83,150.15,17.21,10.25,1260.37,3.7,50.0154,,,3.3
2008 10 26 12,38707.19,0,351.78,20.41,5.5,920,3.3,50.0154,,,2.8
2008 10 27 12,38527.77,0,340.57,20.05,5.54,913.51,2.8,50.0154,,,2.4
2008 10 28 12,38361.6,0,353.34,15.94,0.64,640,2.4,50.0154,,,2
2008 10 29 12,38361.6,0,328.15,13.51,0.04,604.53,2,50.0154,,,1.5
2008 10 30 12,38247.28,0,361.84,16.16,-0.43,600,1.5,50.0154,,,1.5
2008 10 31 12,38016.01,0,375.04,18.19,-0.54,596.67,1.5,50.0154,,,1.6
2008 11 01 12,38016.01,0,379.68,20.07,0,609.48,1.6,50.0154,,,2.2
2008 11 02 12,37990.59,0,377.4,21.88,1.19,656.24,2.2,50.0154,,,2.4
2008 11 03 12,37670.38,0,343.15,21.85,4.89,871.21,2.4,50.0154,,,2.5
2008 11 04 12,37670.38,4.14,142.12,16.89,9.52,1201.34,2.5,50.0154,,,2.6
2008 11 05 12,37670.38,0.11,194.6,18.81,11.12,1329.89,2.6,50.0154,,,2.8
2008 11 06 12,37360.03,0,302.49,21.95,8.37,1109.27,2.8,50.0154,,,2.5
2008 11 07 12,37324.82,0,328.95,23.38,7.21,1016.75,2.5,50.0154,,,2.7
2008 11 08 12,37324.82,0,317.23,22.99,7.41,1032.81,2.7,50.0154,,,2.7
2008 11 09 12,37264.5,0,312.52,19,3.98,800,2.7,50.0154,,,2.5
2008 11 10 12,36979.21,0,335.57,17.49,0.08,607.08,2.5,50.0154,,,2.2
2008 11 11 12,36979.21,0,322.4,17.24,0.65,640.83,2.2,50.0154,,,2
2008 11 12 12,36979.21,0,301.41,16.82,1.72,693.94,2,50.0154,,,1.9
2008 11 13 12,36799.76,0,228.4,15.2,4.89,871.56,1.9,50.0154,,,2.5
2008 11 14 12,36633.6,25.93,99.58,14.5,8.88,1150.26,2.5,50.0154,,,57
2008 11 15 12,36633.6,38.93,140.72,20.26,11.89,1390.9,57,50.0154,,,147
2008 11 16 12,36633.6,2.85,253.46,18.71,1.73,698.52,147,50.0154,,,115
2008 11 17 12,36519.29,0,291.97,13.01,-1.09,560,115,92.7187,,,66
2008 11 18 12,36288,0,319.14,15.69,-1.49,553.37,66,68.8413,,,34
2008 11 19 12,36288,0,294.34,7.87,-6.42,366.47,34,50.0154,,,20
2008 11 20 12,36288,0,292.72,10.21,-4.17,440.97,20,50.0154,,,14
2008 11 21 12,36262.58,0,312.08,16.38,-0.58,593.23,14,50.0154,,,11
2008 11 22 12,35977.61,0,304.03,7.58,-8,320.03,11,50.0154,,,8.8
2008 11 23 12,35942.39,0,293.71,9.5,-5.6,402.08,8.8,50.0154,,,7.4
2008 11 24 12,35942.39,0,277.79,12.94,-1.41,560,7.4,50.0154,,,6.8
2008 11 25 12,35942.39,3.01,174.02,11.73,1.02,644.02,6.8,50.0154,,,6.9
2008 11 26 12,35916.96,0,308.37,13.61,-4.02,440.45,6.9,50.0154,,,6.6
2008 11 27 12,35697.22,0,307.38,15.36,-2.64,504.36,6.6,50.0154,,,5.7
2008 11 28 12,35596.83,0,287.05,18.78,2.32,723.84,5.7,50.0154,,,5.2
2008 11 29 12,35596.83,18.92,176.03,18.88,6.67,973.86,5.2,50.0154,,,19
2008 11 30 12,35596.83,44.75,119.51,11.87,4.54,843.12,19,50.0154,,,647
2008 12 01 12,35596.83,10.58,117.16,7.88,1.01,641.18,647,50.0154,,,1120
2008 12 02 12,35591.22,0,226.27,7.98,-2.35,520,1120,601.424,,,360
2008 12 03 12,35482.51,0,287.92,9.46,-5.46,403.36,360,1104.56,,,149
2008 12 04 12,35351.64,0,300.97,12.24,-4.78,440,149,296.142,,,84
2008 12 05 12,35251.2,1.3,280.92,15.49,-0.08,602.93,84,94.211,,,58
2008 12 06 12,35251.2,0,285.85,13.01,-2.97,482,58,50.0154,,,45
2008 12 07 12,35251.2,0,263.65,10.71,-3,480,45,50.0154,,,37
2008 12 08 12,35251.2,0,283.38,11.69,-3.99,440.88,37,50.0154,,,31
2008 12 09 12,35251.2,0,293.65,14.74,-2.57,503.41,31,50.0154,,,28
2008 12 10 12,35251.2,11.61,179.78,19.39,7.39,1031.45,28,50.0154,,,257
2008 12 11 12,35251.2,63.02,83.68,19.06,13.76,1580.74,257,50.0154,,,6390
2008 12 12 12,35245.58,26.63,202.14,18.51,3.63,791.98,6390,186.581,,,6520
2008 12 13 12,35225.77,0,296.78,12.96,-4.51,440.96,6520,4173.45,,,1960
2008 12 14 12,35190.87,0,252.98,9.27,-3.81,455.04,1960,4240.35,,,520
2008 12 15 12,35136.88,0.05,198.05,10.87,1.27,663.83,520,1676.2,,,304
2008 12 16 12,35071.75,0.03,251.07,21.27,7.18,1014.18,304,466.334,,,215
2008 12 17 12,35071.75,0.15,220.87,20.86,9.16,1173,215,236.575,,,166
2008 12 18 12,35006.02,0,183.17,22.1,12.76,1467.01,166,144.241,,,134
2008 12 19 12,35006.02,0,224.86,23.24,11.18,1334.67,134,106.896,,,121
2008 12 20 12,35006.02,0,158.38,21.09,13.34,1532.16,121,83.0185,,,100
2008 12 21 12,35006.02,4.44,125.91,19.71,12,1399.89,100,73.3183,,,91
2008 12 22 12,35006.02,0,315.74,15.38,-5.27,418.77,91,57.6488,,,97
2008 12 23 12,35071.75,0,243.83,4.5,-6.96,360,97,50.9333,,,115
2008 12 24 12,35071.75,0,268.35,8.96,-4.55,440,115,55.4103,,,89
2008 12 25 12,35136.88,2.92,230.95,20.1,4.85,868.24,89,68.8413,,,78
2008 12 26 12,35190.87,3.33,145.4,18.51,9.43,1194.48,78,50.0154,,,74
2008 12 27 12,35225.77,2.51,105.57,12.73,7.59,1047.57,74,50.0154,,,82
2008 12 28 12,35245.58,0.85,205.66,18,8.71,1136.69,82,50.0154,,,100
2008 12 29 12,35251.2,1.68,219.65,20.2,9.99,1239.05,100,50.0154,,,98
2008 12 30 12,35251.2,0,307.83,19.05,0.58,639.94,98,57.6488,,,89
2008 12 31 12,35251.2,0.84,263.74,19.62,5.29,939.5,89,56.1564,,,78
2009 01 01 12,35251.2,0,317.74,13.98,-4.17,448.9,78,50.0154,,,67
2009 01 02 12,35251.2,0,263.35,8.56,-3.03,489.58,67,50.0154,,,60
2009 01 03 12,35251.2,2.08,169.11,9.11,2.29,720.77,60,50.0154,,,56
2009 01 04 12,35251.2,7.01,145.42,14.23,6.26,940.94,56,50.0154,,,55
2009 01 05 12,35253.89,2.95,184.4,17.32,8.51,1120.8,55,50.0154,,,59
2009 01 06 12,35417.39,7.73,143.46,20.52,12.29,1423.18,59,50.0154,,,70
2009 01 07 12,35571.41,11.47,150.28,20.47,11.83,1386.2,70,50.0154,,,163
2009 01 08 12,35596.83,1.43,277.24,15.77,2.93,752.81,163,50.0154,,,508
2009 01 09 12,35596.83,0,316.91,14.47,-2.13,525.41,508,104.657,,,303
2009 01 10 12,35596.83,0,306.58,13.96,-1.15,564.21,303,453.57,,,176
2009 01 11 12,35596.83,4.26,261.19,16.32,0.99,654.39,176,235.511,,,139
2009 01 12 12,35632.05,0,311.14,13.25,-1.93,532.84,139,114.358,,,137
2009 01 13 12,35828.06,0,276.75,10.48,-1.37,553.57,137,86.7493,,,137
2009 01 14 12,35942.39,0,288.84,9.93,-2.64,503.55,137,85.257,,,111
2009 01 15 12,35942.39,0,280.85,10.13,-1.78,540.48,111,85.257,,,96
2009 01 16 12,35942.39,0,333.57,8.52,-8.1,330.5,96,65.8566,,,81
2009 01 17 12,35942.39,0,284.73,2.15,-9.38,289.75,81,54.6641,,,70
2009 01 18 12,36173.67,1.66,303.23,6.46,-6.37,379.35,70,50.0154,,,66
2009 01 19 12,36288,4.08,195.34,8.39,-1.23,558.25,66,50.0154,,,66
2009 01 20 12,36288,1.31,268.41,8.06,-2.44,509.6,66,50.0154,,,70
2009 01 21 12,36288,0,288.74,3.5,-7.75,338.57,70,50.0154,,,70
2009 01 22 12,36323.24,0,316.38,6.62,-6.54,361.61,70,50.0154,,,65
2009 01 23 12,36608.18,0,330.34,13.64,-1.5,560,65,50.0154,,,60
2009 01 24 12,36633.6,1.04,313.94,17,3.17,772.71,60,50.0154,,,58
2009 01 25 12,36633.6,1.87,229.35,13.98,5.37,898.33,58,50.0154,,,57
2009 01 26 12,36636.29,0,131.76,9.08,4.61,849.12,57,50.0154,,,55
2009 01 27 12,36953.79,1,131.05,8.8,4.42,836.36,55,50.0154,,,55
2009 01 28 12,36979.21,1.16,250.9,15.16,5.79,922.18,55,50.0154,,,53
2009 01 29 12,36979.21,3.96,259.12,17.31,1.39,675.36,53,50.0154,,,56
2009 01 30 12,37014.46,0,321.46,12.5,-0.45,591.37,56,50.0154,,,59
2009 01 31 12,37324.82,0,342.55,11.02,-3.14,483.72,59,50.0154,,,59
2009 02 01 12,37324.82,0,348.93,12.64,-2.15,520,59,50.0154,,,54
2009 02 02 12,37324.82,0,362.19,16.42,-0.37,593.92,54,50.0154,,,51
2009 02 03 12,37610.05,3.6,271.03,14.89,-1.26,558.81,51,50.0154,,,50
2009 02 04 12,37670.38,0,369.16,8.9,-7.72,341.54,50,50.0154,,,48
2009 02 05 12,37670.38,0,337.73,3.53,-9.93,283.22,48,50.0154,,,47
2009 02 06 12,37705.62,0,352.67,7.44,-7.41,353.99,47,50.0154,,,45
2009 02 07 12,38016.01,0,387.02,17.7,-2.1,527.61,45,50.0154,,,42
2009 02 08 12,38016.01,0,375.6,21.55,2.83,750.47,42,50.0154,,,42
2009 02 09 12,38016.01,0,379.02,22.89,3.64,800.18,42,50.0154,,,42
2009 02 10 12,38361.6,0,358.89,22.14,5.5,920,42,50.0154,,,41
2009 02 11 12,38361.6,0,336.29,22.28,7.67,1053.53,41,50.0154,,,41
2009 02 12 12,38361.6,1.44,322.17,22.28,8.54,1123.38,41,50.0154,,,41
2009 02 13 12,38707.19,0,395.68,21.42,1.53,682.39,41,50.0154,,,40
2009 02 14 12,38707.19,3.11,282.43,19.89,4.23,818.32,40,50.0154,,,50
2009 02 15 12,38707.19,4.79,186.83,13.05,4.35,836.25,50,50.0154,,,53
2009 02 16 12,39052.82,0,299.21,13.56,2.55,734.3,53,50.0154,,,52
2009 02 17 12,39052.82,0,378.4,13.27,-2.43,512.83,52,50.0154,,,49
2009 02 18 12,39052.82,5.9,244.57,13.23,0.98,648.43,49,50.0154,,,87
2009 02 19 12,39398.4,23.25,215.73,16.49,5.98,923.82,87,50.0154,,,779
2009 02 20 12,39398.4,0,381.11,12.64,-2.76,498.86,779,50.0154,,,359
2009 02 21 12,39398.4,0,381.46,10.99,-4.17,440,359,741.833,,,208
2009 02 22 12,39743.98,0,380.86,13.39,-1.73,542.3,208,295.078,,,144
2009 02 23 12,39743.98,0,395.04,10.98,-4.84,436.05,144,138.235,,,110
2009 02 24 12,39743.98,0,377.39,10.08,-4.44,439.8,110,90.4802,,,89
2009 02 25 12,40089.6,0,330.08,11.43,-0.59,587.6,89,65.1105,,,76
2009 02 26 12,40089.6,0.16,330.68,16.82,4.2,816.54,76,50.0154,,,68
2009 02 27 12,40124.83,0,285.33,19.56,9,1159.9,68,50.0154,,,75
2009 02 28 12,40435.21,37.38,112.5,15.8,10.8,1303.99,75,50.0154,,,3830
2009 03 01 12,40435.21,47.05,267.78,15.25,2.08,706.97,3830,50.0154,,,9860
2009 03 02 12,40755.38,24.62,166.24,5.65,-1.32,554.4,9860,2795.49,,,7660
2009 03 03 12,40780.8,0,372.93,7.46,-5.55,408.24,7660,5959.09,,,2080
2009 03 04 12,40780.8,0,371.83,7.68,-5.02,434.57,2080,4826.98,,,764
2009 03 05 12,41126.39,0,415.66,12.39,-3.02,480,764,1748.02,,,499
2009 03 06 12,41126.39,0,432.5,18.42,1.35,669.98,499,725.878,,,373
2009 03 07 12,41126.39,0,407.17,22.56,6.81,984.85,373,443.997,,,302
2009 03 08 12,41471.98,0,408.49,25.09,8.98,1158.23,302,309.97,,,252
2009 03 09 12,41471.98,0,402.23,26.11,10.48,1278.51,252,234.447,,,209
2009 03 10 12,41638.14,0,409.14,28.1,11.84,1387.25,209,181.262,,,180
2009 03 11 12,41817.61,0,409.08,27.45,11.61,1368.44,180,138.981,,,159
2009 03 12 12,41817.61,0,408.74,26.54,11.06,1324.53,159,117.342,,,141
2009 03 13 12,42163.22,0,363.77,19.68,7.73,1058.16,141,101.673,,,120
2009 03 14 12,42163.22,9.21,166.98,9.97,4.17,820.85,120,88.2417,,,105
2009 03 15 12,42163.22,13.29,101.37,8.68,5.24,896.13,105,72.5721,,,118
2009 03 16 12,42508.8,14.34,132.15,11.61,7.07,1005.64,118,61.3796,,,605
2009 03 17 12,42508.8,8.22,160.91,14.99,9.34,1187.02,605,71.0798,,,977
2009 03 18 12,42544.02,0,465.44,20.64,4.52,841.91,977,556.749,,,531
2009 03 19 12,42854.39,0,477.46,21.25,4.24,819.22,531,952.446,,,337
2009 03 20 12,42854.39,0,487.84,23.26,4.92,873.41,337,478.035,,,254
2009 03 21 12,43199.98,0,471.16,17.87,1.86,706.48,254,271.677,,,197
2009 03 22 12,43199.98,0,472.66,16.83,1.02,642.39,197,183.39,,,168
2009 03 23 12,43199.98,0,497.81,20.97,2.52,721.91,168,130.027,,,142
2009 03 24 12,43545.6,0,486.33,22.38,4.75,856.16,142,108.388,,,127
2009 03 25 12,43545.6,0.05,448.52,20.99,6.34,957.89,127,88.9878,,,118
2009 03 26 12,43855.98,3.49,196.04,15.63,8.77,1141.89,118,77.7953,,,118
2009 03 27 12,43891.2,5.44,225.03,18.57,10.46,1276.74,118,71.0798,,,130
2009 03 28 12,43891.2,15.44,148.63,18.14,13.07,1491.19,130,71.0798,,,1850
2009 03 29 12,44236.83,60.78,219.09,17.37,9.82,1225.88,1850,80.0338,,,8670
2009 03 30 12,44236.83,0,462.42,17.6,3.6,793.34,8670,1610.36,,,3230
2009 03 31 12,44236.83,0,486.88,21.41,5.46,906.75,3230,5346.73,,,707
2009 04 01 12,44582.39,3.64,321.63,21.15,9.85,1228.4,707,2436.36,,,443
2009 04 02 12,44582.39,16.93,173.98,19.5,13.48,1549.88,443,665.247,,,771
2009 04 03 12,44761.86,10.49,177.05,18.21,12.27,1421.44,771,384.429,,,1570
2009 04 04 12,44927.99,0,499.92,21.94,5.81,921.45,1570,733.323,,,752
2009 04 05 12,44927.99,0,525.38,24.81,6.09,928.39,752,1442.76,,,450
2009 04 06 12,45273.6,4,328.3,21.14,9.48,1198.39,450,713.113,,,384
2009 04 07 12,45273.6,0,455.62,15.56,3.11,768.16,384,391.875,,,381
2009 04 08 12,45273.6,0,469.24,12.29,-0.34,598.98,381,321.671,,,276
2009 04 09 12,45619.18,0,535.03,20,2.51,728.04,276,318.48,,,225
2009 04 10 12,45619.18,0,492.24,24.83,9.57,1205.75,225,206.791,,,188
2009 04 11 12,45644.6,42.69,336.72,23.51,10.85,1307.78,188,154.043,,,4210
2009 04 12 12,45964.79,0,503.8,22.65,7.28,1022.42,4210,123.312,,,1320
2009 04 13 12,45964.79,3.04,356.55,21.14,9.17,1173.95,1320,3022.94,,,557
2009 04 14 12,46275.18,8.52,230.46,18.44,10.8,1303.9,557,1293.12,,,498
2009 04 15 12,46310.4,10.59,345.58,22.16,8.75,1140.33,498,505.691,,,815
2009 04 16 12,46310.4,0,458.7,21.93,8.49,1119.53,815,442.933,,,466
2009 04 17 12,46656,0,516.34,20.88,4.58,846.62,466,780.126,,,299
2009 04 18 12,46656,0,533.25,22.81,5.03,882.36,299,408.894,,,230
2009 04 19 12,46656,0,521.69,24.49,7.35,1028.32,230,231.256,,,190
2009 04 20 12,47001.61,4.65,284.74,22.88,12.76,1462.37,190,158.944,,,194
2009 04 21 12,47001.61,0,511.2,23.47,7.55,1044.18,194,124.804,,,222
2009 04 22 12,47001.61,0,531.32,23.04,6.01,931.78,222,127.789,,,168
2009 04 23 12,47347.21,0,523.6,23.69,7.16,1012.81,168,151.102,,,130
2009 04 24 12,47347.21,0,544.61,29.63,9.82,1225.21,130,108.388,,,111
2009 04 25 12,47347.21,0,508.31,32.2,14.18,1614.53,111,80.0338,,,98
2009 04 26 12,47692.81,0,503.83,31.09,13.5,1560,98,65.8566,,,88
2009 04 27 12,47692.81,0,497.71,29.27,12.28,1422.47,88,56.1564,,,76
2009 04 28 12,47692.81,0,490.67,27.8,11.33,1346.57,76,50.0154,,,67
2009 04 29 12,48038.4,0,464.85,27.62,12.55,1444.15,67,50.0154,,,61
2009 04 30 12,48038.4,0,472.64,28.6,13.01,1481.94,61,50.0154,,,58
2009 05 01 12,48038.4,0,438.16,28.36,14.4,1636.85,58,50.0154,,,54
2009 05 02 12,48383.99,0,378.24,28.64,16.91,1914.01,54,50.0154,,,51
2009 05 03 12,48383.99,4.27,291.98,29.13,17.55,2007.35,51,50.0154,,,48
2009 05 04 12,48383.99,1.56,264.31,26.87,18.54,2132.78,48,50.0154,,,47
2009 05 05 12,48694.35,37.23,167.88,23.57,17.42,1987.64,47,50.0154,,,1730
2009 05 06 12,48729.61,6.92,230.45,26.59,17.85,2055.75,1730,50.0154,,,2820
2009 05 07 12,48729.61,7.54,268.08,28.31,17.82,2050.75,2820,1538.53,,,759
2009 05 08 12,48789.93,2.09,319.68,27.92,18.05,2077.37,759,2190.95,,,628
2009 05 09 12,49075.19,0,336.15,27.89,18.37,2109.74,628,720.559,,,332
2009 05 10 12,49075.19,0,368.4,28,17.54,2008.38,332,581.214,,,238
2009 05 11 12,49075.19,4.61,303.63,26.55,15.69,1775.08,238,266.358,,,161
2009 05 12 12,49385.59,5.53,318.85,21.41,9.95,1235.99,161,166.786,,,138
2009 05 13 12,49420.81,0,486.43,24.11,9.79,1223,138,103.165,,,114
2009 05 14 12,49420.81,0,486.85,26.58,11.62,1369.94,114,86.0032,,,90
2009 05 15 12,49446.23,0,413.97,28.18,16.1,1827.02,90,68.0951,,,76
2009 05 16 12,49763.71,6.35,293.49,28.62,17.34,1974.71,76,50.1871,,,141
2009 05 17 12,49766.41,12.96,290.16,27.06,16.29,1849.45,141,50.0154,,,433
2009 05 18 12,49766.41,10.25,364.4,23.28,9.32,1185.37,433,88.2417,,,302
2009 05 19 12,49791.83,0,477.42,19.86,6.84,986.9,302,373.792,,,265
2009 05 20 12,50076.75,0,465.71,22.66,9.74,1218.96,265,234.447,,,149
2009 05 21 12,50111.99,2.29,372.97,25.36,13.98,1598.81,149,195.09,,,102
2009 05 22 12,50111.99,0,387.08,25.75,15.52,1761.21,102,94.211,,,81
2009 05 23 12,50111.99,0,396.36,27.29,16.71,1894.36,81,59.1411,,,70
2009 05 24 12,50226.32,6.82,210.03,25.94,19.08,2213.55,70,50.0154,,,71
2009 05 25 12,50457.61,8.88,223.6,26.86,19.63,2288.14,71,50.0154,,,186
2009 05 26 12,50457.61,2.55,311.75,28.19,19.13,2220.02,186,50.0154,,,459
2009 05 27 12,50457.61,2.2,320.41,28.82,19.69,2295.28,459,121.819,,,289
2009 05 28 12,50457.61,4.72,316.33,28.4,19.26,2240.92,289,401.449,,,240
2009 05 29 12,50571.95,0.06,432.08,30.16,19.16,2226.07,240,220.619,,,157
2009 05 30 12,50767.96,0,492.27,30.79,17.22,1955.79,157,168.747,,,101
2009 05 31 12,50803.17,0,506.76,30.81,16.47,1875.78,101,100.18,,,69
2009 06 01 12,50803.17,0,512.04,33.31,17.78,2044.02,69,58.3949,,,55
2009 06 02 12,50803.17,0,506.12,32.68,17.62,2019.5,55,50.0154,,,45
2009 06 03 12,50803.17,0,493.09,33.07,18.44,2116.96,45,50.0154,,,39
2009 06 04 12,50828.59,0,414.49,31.52,20.48,2397.03,39,50.0154,,,34
2009 06 05 12,50982.64,27.48,225.33,27,19.94,2321.5,34,50.0154,,,38
2009 06 06 12,51113.55,16.12,286.55,28.3,19.07,2211.09,38,50.0154,,,170
2009 06 07 12,51148.8,0,408.32,28.35,18.13,2088.94,170,50.0154,,,270
2009 06 08 12,51148.8,0,449.02,29.87,17.91,2060.6,270,109.881,,,111
